Object Histogram:

Size	Count	Class description
1216	19	org.jruby.java.proxies.JavaInterfaceTemplate$s$1$0$implement
1216	19	org.jruby.java.proxies.JavaInterfaceTemplate$s$1$0$extended
1216	19	org.jruby.java.proxies.JavaInterfaceTemplate$s$0$0$impl
1216	19	org.jruby.java.proxies.JavaInterfaceTemplate$s$0$0$op_aref
1200	10	* KlassKlass
1200	30	org.joda.time.tz.CachedDateTimeZone$Info
1184	59	org.jruby.runtime.BlockBody[]
1160	3	org.jcodings.util.Hash$HashEntry[]
1152	48	org.jruby.ast.ZSuperNode
1128	47	rubyobj.Gem.Specification
1128	47	org.jruby.ast.Match2Node
1120	35	org.jruby.javasupport.JavaConstructor
1088	68	java.util.concurrent.locks.ReentrantLock
1056	44	org.jruby.runtime.callsite.CmpCallSite
1056	3	com.kenai.constantine.platform.darwin.Errno[]
1040	1	java.lang.Long[]
1040	1	java.lang.Integer[]
1040	1	org.jruby.util.Pack$Converter[]
1024	16	java.util.regex.Pattern
1024	32	org.jruby.ast.FCallOneArgBlockNode
1008	42	java.util.Collections$UnmodifiableMap
968	121	org.jruby.runtime.assigner.Pre0Rest0Post0Assigner
960	60	org.bouncycastle.asn1.DERObjectIdentifier
960	40	org.jruby.runtime.callsite.GeCallSite
936	39	com.kenai.constantine.platform.darwin.AddressFamily
936	39	com.kenai.constantine.platform.darwin.Fcntl
936	39	org.jruby.runtime.assigner.Pre3Rest0Post0Assigner
928	29	org.jruby.runtime.CompiledBlock
928	29	sun.misc.URLClassPath$JarLoader
928	58	org.jruby.RubyClass$3
920	23	org.joda.time.chrono.ZonedChronology$ZonedDateTimeField
888	37	org.jruby.ast.FCallSpecialArgBlockPassNode
888	37	com.kenai.constantine.platform.darwin.ProtocolFamily
864	18	org.jruby.RubyStruct$1
864	9	java.lang.Thread
864	36	org.jruby.ext.LateLoadingLibrary
864	18	org.jruby.RubyStruct$2
864	12	org.jruby.javasupport.Java$2
864	12	org.jruby.javasupport.Java$5
840	35	java.util.regex.Pattern$GroupTail
840	21	org.jruby.ast.OpElementOneArgAsgnNode
808	2	org.jruby.runtime.callsite.CacheEntry[]
800	50	com.kenai.constantine.platform.ConstantResolver$UnknownConstant
792	33	org.jruby.runtime.callsite.LeCallSite
768	32	org.jruby.ast.FCallSpecialArgNode
768	16	com.kenai.constantine.platform.ConstantResolver
768	16	org.jruby.javasupport.util.ObjectProxyCache$Entry[]
768	24	java.util.regex.Pattern$Curly
768	48	org.jruby.ast.BackRefNode
752	1	org.jruby.Ruby
752	47	org.jruby.ast.BreakNode
744	31	org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber
744	31	org.jruby.javasupport.JavaClass$ClassInitializer
736	46	java.security.Provider$UString
720	2	com.kenai.constantine.platform.Errno[]
720	30	com.kenai.constantine.platform.darwin.SocketOption
720	90	java.lang.Object
704	22	org.jruby.runtime.callsite.RespondToCallSite$RespondToTuple
704	22	java.util.Locale
704	44	org.jruby.internal.runtime.ValueAccessor
696	29	org.jruby.ast.ClassVarAsgnNode
688	43	com.kenai.constantine.platform.SocketOption
688	43	com.kenai.constantine.platform.AddressFamily
672	21	com.kenai.jffi.Type$BuiltinTypeInfo
672	21	java.util.zip.Inflater
656	41	org.jruby.ast.DefinedNode
648	27	sun.reflect.annotation.AnnotationInvocationHandler
648	24	org.jruby.RubySymbol[]
640	40	com.kenai.constantine.platform.ProtocolFamily
640	40	java.util.HashMap$EntrySet
640	3	int[][]
624	26	com.kenai.constantine.platform.darwin.IPProto
624	7	java.lang.ThreadLocal$ThreadLocalMap$Entry[]
608	38	org.jruby.ast.NextNode
608	2	* ArrayKlassKlass
608	19	java.lang.ThreadLocal$ThreadLocalMap$Entry
608	19	org.jruby.ast.CallNoArgBlockPassNode
600	15	org.jcodings.util.BytesHash$BytesHashEntry
592	37	java.util.jar.Attributes$Name
592	35	org.jruby.javasupport.JavaMethod[]
576	24	rubyobj.AttributeQuery
576	24	rubyobj.TransitionQuery
576	24	rubyobj.TransitionHistory
576	8	java.lang.reflect.Field
576	18	org.jruby.ast.DefnNode
576	36	java.util.regex.Pattern$Category
560	35	java.lang.ProcessEnvironment$Variable
560	35	java.util.regex.Pattern$GroupHead
560	35	java.lang.ProcessEnvironment$Value
552	23	sun.security.util.DerInputBuffer
552	23	sun.security.util.DerValue
552	23	java.lang.ref.WeakReference
552	23	org.jruby.ast.ZYieldNode
552	23	org.joda.time.DateTimeFieldType$StandardDateTimeFieldType
544	34	org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral
544	17	org.jruby.ast.YieldTwoNode
544	17	org.jruby.runtime.scope.ManyVarsDynamicScope
544	4	java.text.DecimalFormat
528	33	com.kenai.constantine.platform.Fcntl
528	33	sun.reflect.BootstrapConstructorAccessorImpl
520	13	org.jruby.ast.CallTwoArgBlockNode
512	16	org.jruby.javasupport.util.ObjectProxyCache$Segment
512	16	com.kenai.constantine.ConstantSet
504	21	org.jruby.runtime.callsite.BitAndCallSite
504	3	com.kenai.constantine.platform.darwin.Fcntl[]
504	21	com.kenai.jffi.NativeType
504	3	com.kenai.constantine.platform.darwin.AddressFamily[]
504	21	sun.security.x509.RDN
504	21	sun.security.x509.AVAKeyword
496	31	java.util.zip.ZipFile$ZipCloser
480	15	java.io.ObjectStreamField
480	12	org.joda.time.format.DateTimeFormatter
480	10	org.jruby.ast.AttrAssignThreeArgNode
480	3	com.kenai.constantine.platform.darwin.ProtocolFamily[]
472	23	java.lang.reflect.Constructor[]
464	23	org.jruby.RubyRegexp[]
464	29	com.kenai.constantine.platform.IPProto
464	29	org.jruby.Ruby$3
456	19	sun.security.x509.OIDMap$OIDInfo
456	1	org.jruby.ast.NodeType[]
448	14	org.jruby.ast.OpAsgnNode
448	17	org.jruby.javasupport.JavaMethod[][]
432	18	java.util.regex.Pattern$Range
432	18	org.jruby.javasupport.JavaClass$InterfaceInitializer
432	18	java.util.RegularEnumSet
432	18	com.kenai.constantine.platform.darwin.OpenFlags
416	13	org.jruby.ast.FCallOneArgBlockPassNode
408	17	java.util.regex.Pattern$Single
408	3	com.kenai.constantine.platform.darwin.SocketOption[]
400	10	org.jruby.ast.FCallThreeArgBlockPassNode
392	6	org.joda.time.format.DateTimeParser[]
392	6	org.joda.time.format.DateTimePrinter[]
384	24	org.joni.constants.TokenType
384	24	java.security.Provider$EngineDescription
376	21	org.jruby.javasupport.JavaConstructor[]
368	2	com.kenai.constantine.platform.AddressFamily[]
368	2	com.kenai.constantine.platform.SocketOption[]
368	23	sun.security.util.DerInputStream
360	3	com.kenai.constantine.platform.darwin.IPProto[]
360	9	org.jruby.util.io.ChannelStream
352	2	com.kenai.constantine.platform.ProtocolFamily[]
336	14	com.kenai.constantine.platform.darwin.TCP
336	21	com.kenai.constantine.platform.OpenFlags
336	21	java.util.regex.Pattern$Ctype
336	21	java.util.zip.ZStreamRef
336	14	java.util.regex.Pattern$BitClass
336	21	sun.security.x509.AVA
336	14	org.jruby.ast.UntilNode
336	21	sun.security.x509.AVA[]
336	4	java.math.BigInteger[]
320	10	org.joni.Syntax$MetaCharTable
320	8	org.jruby.util.io.ChannelDescriptor
320	5	org.jruby.RubyIconv$RubyFailure$i$0$0$failed
320	5	org.jruby.RubyIconv$RubyFailure$i$0$2$initialize
320	5	org.jruby.RubyIconv$RubyFailure$i$0$0$inspect
320	8	java.util.IdentityHashMap
320	5	org.jruby.RubyIconv$RubyFailure$i$0$0$success
320	10	org.joni.Syntax
320	20	java.util.concurrent.atomic.AtomicLong
320	2	org.joda.time.chrono.ISOChronology
312	13	org.jruby.ast.FileNode
312	7	org.jruby.anno.FrameField[]
304	19	com.kenai.constantine.platform.RLIMIT
304	19	java.util.HashMap$Values
304	19	org.jruby.runtime.callsite.SuperCallSite$SuperTuple
288	18	java.lang.ThreadLocal
288	6	sun.nio.cs.UTF_8$Encoder
288	18	java.text.DateFormat$Field
288	4	org.jruby.javasupport.JavaClass$ConstructorInvokerInstaller$1
288	12	org.jruby.RubyNumeric
288	2	com.kenai.constantine.platform.Fcntl[]
280	5	org.jruby.ext.openssl.x509store.VerifyParameter
280	7	org.jruby.util.io.OpenFile
280	1	org.jruby.ext.posix.LibC$jaffl$0
272	1	org.joda.time.chrono.ISOChronology[]
272	1	org.joda.time.chrono.GJLocaleSymbols[]
272	17	java.util.regex.Pattern$Branch
272	17	com.kenai.constantine.platform.TCP
264	3	com.kenai.constantine.platform.darwin.OpenFlags[]
